 +Z End : Circumference,,,,, -Z End : Circumference,,,,, +Z End : I-Beam +1 ,,,,, +Z End : I-Beam +2,,,,, +Z End : I-Beam +3,,,,, +Z End : I-Beam +4,,,,, +Z End : I-Beam +5,,,,, +Z End : I-Beam +6,,,,, +Z End : I-Beam +7,,,,, +Z End : I-Beam +8,,,,, +Z End : I-Beam +9,,,,, +Z End : I-Beam +10,,,,, +Z End : I-Beam +11,,,,, +Z End : I-Beam +12,,,,, +Z End : I-Beam +13 ,,,,, +Z End : I-Beam +14,,,,, +Z End : I-Beam +15,,,,, +Z End : I-Beam +16,,,,, +Z End : I-Beam +17,,,,, +Z End : I-Beam +18,,,,, +Z End : I-Beam +19 ,,,
C11,,,,,C11,,,,,I20_F1,,,,,I21_F1,,,,,I22_F1,,,,,I23_F1,,,,,I24_F1,,,,,I25_F1,,,,,I26_F1,,,,,I27_F1,,,,,I28_F1,,,,,I29_F1,,,,,I30_F1,,,,,I31_F1,,,,,I32_F1,,,,,I33_F1,,,,,I34_F1,,,,,I35_F1,,,,,I36_F1,,,,,I37_F1,,,,,I38_F1,,,
C12,,,,,C12,,,,,I20_F2,,,,,I21_F2,,,,,I22_F2,,,,,I23_F2,,,,,I24_F2,,,,,I25_F2,,,,,I26_F2,,,,,I27_F2,,,,,I28_F2,,,,,I29_F2,,,,,I30_F2,,,,,I31_F2,,,,,I32_F2,,,,,I33_F2,,,,,I34_F2,,,,,I35_F2,,,,,I36_F2,,,,,I37_F2,,,,,I38_F2,,,
C13,,,,,C13,,,,,I20_F3,,,,,I21_F3,,,,,I22_F3,,,,,I23_F3,,,,,I24_F3,,,,,I25_F3,,,,,I26_F3,,,,,I27_F3,,,,,I28_F3,,,,,I29_F3,,,,,I30_F3,,,,,I31_F3,,,,,I32_F3,,,,,I33_F3,,,,,I34_F3,,,,,I35_F3,,,,,I36_F3,,,,,I37_F3,,,,,I38_F3,,,
C14,,,,,C14,,,,,I20_F4,,,,,I21_F4,,,,,I22_F4,,,,,I23_F4,,,,,I24_F4,,,,,I25_F4,,,,,I26_F4,,,,,I27_F4,,,,,I28_F4,,,,,I29_F4,,,,,I30_F4,,,,,I31_F4,,,,,I32_F4,,,,,I33_F4,,,,,I34_F4,,,,,I35_F4,,,,,I36_F4,,,,,I37_F4,,,,,I38_F4,,,
C15,,,,,C15,,,,,I20_F5,,,,,I21_F5,,,,,I22_F5,,,,,I23_F5,,,,,I24_F5,,,,,I25_F5,,,,,I26_F5,,,,,I27_F5,,,,,I28_F5,,,,,I29_F5,,,,,I30_F5,,,,,I31_F5,,,,,I32_F5,,,,,I33_F5,,,,,I34_F5,,,,,I35_F5,,,,,I36_F5,,,,,I37_F5,,,,,I38_F5,,,
C16,,,,,C16,,,,,I20_F6,,,,,I21_F6,,,,,I22_F6,,,,,I23_F6,,,,,I24_F6,,,,,I25_F6,,,,,I26_F6,,,,,I27_F6,,,,,I28_F6,,,,,I29_F6,,,,,I30_F6,,,,,I31_F6,,,,,I32_F6,,,,,I33_F6,,,,,I34_F6,,,,,I35_F6,,,,,I36_F6,,,,,I37_F6,,,,,I38_F6,,,
C17,,,,,C17,,,,,I20_F7,,,,,I21_F7,,,,,I22_F7,,,,,I23_F7,,,,,I24_F7,,,,,I25_F7,,,,,I26_F7,,,,,I27_F7,,,,,I28_F7,,,,,I29_F7,,,,,I30_F7,,,,,I31_F7,,,,,I32_F7,,,,,I33_F7,,,,,I34_F7,,,,,I35_F7,,,,,I36_F7,,,,,I37_F7,,,,,I38_F7,,,
C18,,,,,C18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C19,,,,,C19,,,,, -Z End : I-Beam -1 ,,,,, -Z End : I-Beam -2,,,,, -Z End : I-Beam -3,,,,, -Z End : I-Beam -4,,,,, -Z End : I-Beam -5,,,,, -Z End : I-Beam -6,,,,, -Z End : I-Beam -7,,,,, -Z End : I-Beam -8,,,,, -Z End : I-Beam -9,,,,, -Z End : I-Beam -10,,,,, -Z End : I-Beam -11,,,,, -Z End : I-Beam -12,,,,, -Z End : I-Beam -13,,,,, -Z End : I-Beam -14,,,,, -Z End : I-Beam -15,,,,, -Z End : I-Beam -16,,,,, -Z End : I-Beam -17,,,,, -Z End : I-Beam -18,,,,, -Z End : I-Beam -19,,,
C20,,,,,C20,,,,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z
C21,,,,,C21,,,,,I-1_F-1,,,,,I-2_F-1,,,,,I-3_F-1,,,,,I-4_F-1,,,,,I-5_F-1,,,,,I-6_F-1,,,,,I-7_F-1,,,,,I-8_F-1,,,,,I-9_F-1,,,,,I-10_F-1,,,,,I-11_F-1,,,,,I-12_F-1,,,,,I-13_F-1,,,,,I-14_F-1,,,,,I-15_F-1,,,,,I-16_F-1,,,,,I-17_F-1,,,,,I-18_F-1,,,,,I-19_F-1,,,
C22,,,,,C22,,,,,I-1_F-2,,,,,I-2_F-2,,,,,I-3_F-2,,,,,I-4_F-2,,,,,I-5_F-2,,,,,I-6_F-2,,,,,I-7_F-2,,,,,I-8_F-2,,,,,I-9_F-2,,,,,I-10_F-2,,,,,I-11_F-2,,,,,I-12_F-2,,,,,I-13_F-2,,,,,I-14_F-2,,,,,I-15_F-2,,,,,I-16_F-2,,,,,I-17_F-2,,,,,I-18_F-2,,,,,I-19_F-2,,,
C23,,,,,C23,,,,,I-1_F-3,,,,,I-2_F-3,,,,,I-3_F-3,,,,,I-4_F-3,,,,,I-5_F-3,,,,,I-6_F-3,,,,,I-7_F-3,,,,,I-8_F-3,,,,,I-9_F-3,,,,,I-10_F-3,,,,,I-11_F-3,,,,,I-12_F-3,,,,,I-13_F-3,,,,,I-14_F-3,,,,,I-15_F-3,,,,,I-16_F-3,,,,,I-17_F-3,,,,,I-18_F-3,,,,,I-19_F-3,,,
C24,,,,,C24,,,,,I-1_F-4,,,,,I-2_F-4,,,,,I-3_F-4,,,,,I-4_F-4,,,,,I-5_F-4,,,,,I-6_F-4,,,,,I-7_F-4,,,,,I-8_F-4,,,,,I-9_F-4,,,,,I-10_F-4,,,,,I-11_F-4,,,,,I-12_F-4,,,,,I-13_F-4,,,,,I-14_F-4,,,,,I-15_F-4,,,,,I-16_F-4,,,,,I-17_F-4,,,,,I-18_F-4,,,,,I-19_F-4,,,
C25,,,,,C25,,,,,I-1_F-5,,,,,I-2_F-5,,,,,I-3_F-5,,,,,I-4_F-5,,,,,I-5_F-5,,,,,I-6_F-5,,,,,I-7_F-5,,,,,I-8_F-5,,,,,I-9_F-5,,,,,I-10_F-5,,,,,I-11_F-5,,,,,I-12_F-5,,,,,I-13_F-5,,,,,I-14_F-5,,,,,I-15_F-5,,,,,I-16_F-5,,,,,I-17_F-5,,,,,I-18_F-5,,,,,I-19_F-5,,,
C26,,,,,C26,,,,,I-1_F-6,,,,,I-2_F-6,,,,,I-3_F-6,,,,,I-4_F-6,,,,,I-5_F-6,,,,,I-6_F-6,,,,,I-7_F-6,,,,,I-8_F-6,,,,,I-9_F-6,,,,,I-10_F-6,,,,,I-11_F-6,,,,,I-12_F-6,,,,,I-13_F-6,,,,,I-14_F-6,,,,,I-15_F-6,,,,,I-16_F-6,,,,,I-17_F-6,,,,,I-18_F-6,,,,,I-19_F-6,,,
